concept,count,sections
47_concepts,2,"concept_atlas, part_10_concept_atlas"
constructal_law,2,"natural_law, part_6_natural_law"
empirical_evidence,2,"validation, part_11_validation"
glossary,2,"concept_atlas, part_10_concept_atlas"
holon,2,"cosmology, part_5_cosmology"
junk_code_hypothesis,2,"the_98_percent_problem, part_7_future"
manifold,2,"cosmology, part_5_cosmology"
purpose_field,2,"cosmology, part_5_cosmology"
200_atoms,1,periodic_table
22_families,1,periodic_table
33_roles,1,the_33_roles
4_phases,1,periodic_table
5_edge_categories,1,edge_types
8_dimensions,1,part_12_octahedral_atom
8_faces,1,octahedral_atom
8d_manifold,1,the_manifold
D1_to_D8,1,eight_dimensions
L-3_to_L12,1,sixteen_levels
R1_to_R8,1,eight_lenses
above_below,1,spatial_relationships
abstraction_ladder,1,layers_of_abstraction
abstraction_scale,1,sixteen_levels
abstraction_stack,1,layers_visualization
analogy_table,1,analogies_we_use
as_above_so_below,1,fractal_nature
astronomy_code_mapping,1,scientific_analogies
atom_inventory,1,the_200_atoms
biological_isomorphism,1,natural_law
boundaries,1,what_this_is_not
central_question,1,the_question
classification_sources,1,part_3_taxonomy
classification_system,1,taxonomy
code_as_graph,1,relationships
computation_universal,1,why_analogies_work
concept_ancestry,1,foundational_lineages
concept_count,1,concept_inventory
concept_flow_visualization,1,dependency_graph
concept_provenance,1,lineage
confidence_by_source,1,classification_sources
confidence_levels,1,part_3_taxonomy
confidence_thresholds,1,confidence_levels
confirmed_hypotheses,1,what_validated
contains,1,spatial_relationships
coverage_stats,1,part_11_validation
coverage_validation,1,why_organization_works
definitions,1,essential_glossary
diagrams,1,atlas
dimension_definitions,1,eight_dimensions
dna_code_parallel,1,biological_isomorphism
dualities,1,dual_dimensions
edge_taxonomy,1,relationships
edge_types,1,part_2_relationships
encoding,1,flow_between_planes
epistemic_closure,1,open_frontier
epistemic_contract,1,lineage
epistemic_humility,1,humble_beginning
epistemic_ontological,1,dual_nature
er_diagram,1,part_4_structure
flow_evolution,1,constructal_law
fractal_principle,1,fractal_nature
fragmented_knowledge,1,problem_of_software
frontier_acknowledgment,1,open_frontier
gap_inventory,1,what_not_mapped
geometry_justification,1,why_octahedron
grand_synthesis,1,unification_table
graph_model,1,graph_of_code
holon_definition,1,the_holon_cosmology
humble_science,1,operating_principles
impulse_paradigm,1,part_7_future
intellectual_inheritance,1,part_9_lineage
intellectual_lineage,1,inheritance_chain
interpretation,1,flow_between_planes
isomorphism,1,why_analogies_work
language_coverage_stats,1,empirical_coverage
layer_concept,1,layers_of_abstraction
learning_path,1,concept_atlas
lens_definitions,1,eight_lenses
lens_dimension_duality,1,dual_nature
limitations,1,what_not_validated
map_not_territory,1,humble_beginning
matrix_representation,1,part_4_structure
mipo_cycle,1,fractal_nature
node_L3,1,converging_to_entity
node_as_fundamental,1,converging_to_entity
octahedron_geometry,1,part_12_octahedral_atom
octahedron_shape,1,octahedral_atom
open_contribution,1,the_invitation
open_question_lenses_dimensions,1,lens_dimension_question
open_questions,1,what_not_validated
open_world,1,operating_principles
opposite_faces,1,dual_dimensions
original_synthesis,1,novel_contributions
pancomputationalism,1,part_6_natural_law
parallel,1,spatial_relationships
pattern_recognition,1,taxonomy
patterns,1,part_3_taxonomy
phases_families,1,the_200_atoms
phases_of_learning,1,learning_path
physical_virtual_semantic,1,three_bodies
physics_code_mapping,1,scientific_analogies
plane_definitions,1,three_planes
prefix_suffix_path_patterns,1,pattern_types
primary_sources,1,bibliography
problem_statement,1,problem_of_software
provisional_certainty,1,operating_principles
purpose,1,what_this_is
role_taxonomy,1,the_33_roles
scientific_analogies,1,atlas
semantic_edges,1,part_2_relationships
sources,1,part_9_lineage
structural_edges,1,part_2_relationships
system_as_universe,1,the_holon
three_planes,1,three_bodies
three_planes_intro,1,why_no_one_before
token_as_zero,1,sixteen_levels
tudo_e_uma_analogia,1,power_of_analogies
unification_formula,1,grand_formula
unification_table,1,atlas
unified_theory,1,part_8_atlas
universal_analogy,1,power_of_analogies
universe_as_computer,1,pancomputationalism
unknown_first_class,1,operating_principles
validation_approach,1,validation
versioned_model,1,what_this_is
visualizations,1,part_8_atlas
