path,title,bytes,MB,top,is_archive,category,generated_marker,out_md_links,in_md_links,component,component_size
.agent/CONSOLIDATED_POSSIBILITIES.md,Consolidated Possibilities - PROJECT_elements,5847,0.005847,.agent,False,doc,True,0,0,388,1
.agent/KERNEL.md,Agent Kernel,9451,0.009451,.agent,False,doc,False,0,0,614,1
.agent/SPRAWL_CONSOLIDATION_PLAN.md,Sprawl Consolidation Plan,2707,0.002707,.agent,False,doc,False,0,0,240,1
.agent/SUBSYSTEM_INTEGRATION.md,Subsystem Integration Map,15720,0.01572,.agent,False,doc,False,0,0,272,1
.agent/deck/DEPRECATED.md,DEPRECATED,845,0.000845,.agent,False,doc,False,0,0,293,1
.agent/docs/CONSOLIDATION_REPORT.md,Task System Consolidation Report,11478,0.011478,.agent,False,doc,True,0,0,173,1
.agent/emergency/ARCHITECTURAL-ENTROPY-ANALYSIS.md,ARCHITECTURAL ENTROPY ANALYSIS,14665,0.014665,.agent,False,doc,False,0,0,280,1
.agent/emergency/BACKGROUND-SERVICES-EMERGENCY-MAP.md,BACKGROUND SERVICES - EMERGENCY MAP,16022,0.016022,.agent,False,doc,False,0,0,124,1
.agent/emergency/CODE-ARCHAEOLOGY-FINDINGS.md,CODE ARCHAEOLOGY FINDINGS,6933,0.006933,.agent,False,doc,False,0,0,267,1
.agent/emergency/OBSERVER-GOVERNANCE-EMERGENCY-MAP.md,OBSERVER GOVERNANCE - EMERGENCY MAP,20466,0.020466,.agent,False,doc,False,0,0,714,1
.agent/emergency/PARTICLE-COLLIDER-EMERGENCY-MAP.md,PARTICLE COLLIDER - EMERGENCY MAP,14730,0.01473,.agent,False,doc,False,0,0,736,1
.agent/emergency/PURPOSE-COUNTER-ENGINEERING-ANALYSIS.md,PURPOSE COUNTER-ENGINEERING ANALYSIS,16385,0.016385,.agent,False,doc,False,0,0,740,1
.agent/emergency/SUBSYSTEM-PURPOSE-EVALUATION.md,SUBSYSTEM PURPOSE EVALUATION,14171,0.014171,.agent,False,doc,False,0,0,695,1
.agent/emergency/SYSTEM-CRYSTALLIZATION-INDEX.md,SYSTEM CRYSTALLIZATION INDEX,16987,0.016987,.agent,False,doc,False,0,0,317,1
.agent/emergency/WAVE-AI-SUBSYSTEM-EMERGENCY-MAP.md,WAVE AI SUBSYSTEM - EMERGENCY MAP,13136,0.013136,.agent,False,doc,False,0,0,485,1
.agent/handoffs/HANDOFF_2026-01-26_PURPOSE_FIELD_SESSION.md,HANDOFF NOTE: Purpose Field Integration Session,8396,0.008396,.agent,False,doc,False,0,0,463,1
.agent/hooks/README.md,Git Hooks,1286,0.001286,.agent,False,doc,False,0,0,558,1
.agent/intelligence/AI_ENRICHMENT_CHALLENGE_REPORT.md,AI Enrichment & Challenge Report,5594,0.005594,.agent,False,generated_output,True,0,0,159,1
.agent/intelligence/EVOLUTION_PLAN.md,PROJECT_elements Evolution Analysis Plan,6315,0.006315,.agent,False,generated_output,False,0,0,178,1
.agent/intelligence/LEGACY_SPRAWL_MAP.md,Legacy Sprawl Map,5923,0.005923,.agent,False,generated_output,True,0,0,94,1
.agent/intelligence/LOL_FORMAL_DEFINITION.md,LOL (List of Lists): Formal Mathematical Definition,5348,0.005348,.agent,False,generated_output,False,0,0,637,1
.agent/intelligence/PRIORITY_MATRIX.md,Priority Matrix: Wave/Particle Balance Actions,6941,0.006941,.agent,False,generated_output,True,0,0,8,1
.agent/intelligence/SELF_PORTRAIT.md,PROJECT_elements: Self-Portrait,9095,0.009095,.agent,False,generated_output,True,0,0,316,1
.agent/intelligence/SKEPTICAL_AUDIT_20260126.md,SKEPTICAL AUDIT REPORT: 20260126,805,0.000805,.agent,False,generated_output,True,0,0,289,1
.agent/intelligence/SKEPTICAL_AUDIT_20260127.md,SKEPTICAL AUDIT REPORT: 20260127,2949,0.002949,.agent,False,generated_output,True,0,0,287,1
.agent/intelligence/SKEPTICAL_AUDIT_REPORT_20260125.md,SKEPTICAL AUDIT REPORT: Session 2026-01-25,18583,0.018583,.agent,False,generated_output,False,0,0,230,1
.agent/intelligence/SOS_MAP_TRUTH.md,System-of-Systems Map: Composite Truth Document,8162,0.008162,.agent,False,generated_output,True,0,0,31,1
.agent/intelligence/TOOL_TAXONOMY.md,Tool Taxonomy,11089,0.011089,.agent,False,generated_output,False,0,0,99,1
.agent/intelligence/WAVE_PARTICLE_BALANCE.md,Wave/Particle Balance Report,5176,0.005176,.agent,False,generated_output,True,0,0,347,1
.agent/intelligence/centripetal_scans/20260123_161810_SUMMARY.md,Centripetal Scan Summary,1880,0.00188,.agent,False,generated_output,True,0,0,717,1
.agent/intelligence/centripetal_scans/20260123_161810_round_01_macro.md,Centripetal Scan - Round 1 (MACRO),982,0.000982,.agent,False,generated_output,False,0,0,11,1
.agent/intelligence/centripetal_scans/20260123_161810_round_02_macro.md,Centripetal Scan - Round 2 (MACRO),1172,0.001172,.agent,False,generated_output,False,0,0,46,1
.agent/intelligence/centripetal_scans/20260123_161810_round_03_macro.md,Centripetal Scan - Round 3 (MACRO),1014,0.001014,.agent,False,generated_output,False,0,0,48,1
.agent/intelligence/centripetal_scans/20260123_161810_round_04_meso.md,Centripetal Scan - Round 4 (MESO),1031,0.001031,.agent,False,generated_output,False,0,0,487,1
.agent/intelligence/centripetal_scans/20260123_161810_round_05_meso.md,Centripetal Scan - Round 5 (MESO),1015,0.001015,.agent,False,generated_output,False,0,0,333,1
.agent/intelligence/centripetal_scans/20260123_161810_round_06_meso.md,Centripetal Scan - Round 6 (MESO),1159,0.001159,.agent,False,generated_output,False,0,0,211,1
.agent/intelligence/centripetal_scans/20260123_161810_round_07_micro.md,Centripetal Scan - Round 7 (MICRO),1012,0.001012,.agent,False,generated_output,False,0,0,38,1
.agent/intelligence/centripetal_scans/20260123_161810_round_08_micro.md,Centripetal Scan - Round 8 (MICRO),881,0.000881,.agent,False,generated_output,False,0,0,497,1
.agent/intelligence/centripetal_scans/20260123_161810_round_09_micro.md,Centripetal Scan - Round 9 (MICRO),1001,0.001001,.agent,False,generated_output,False,0,0,42,1
.agent/intelligence/centripetal_scans/20260123_161810_round_10_nano.md,Centripetal Scan - Round 10 (NANO),1010,0.00101,.agent,False,generated_output,False,0,0,12,1
.agent/intelligence/centripetal_scans/20260123_161810_round_11_nano.md,Centripetal Scan - Round 11 (NANO),971,0.000971,.agent,False,generated_output,False,0,0,231,1
.agent/intelligence/centripetal_scans/20260123_161810_round_12_nano.md,Centripetal Scan - Round 12 (NANO),1272,0.001272,.agent,False,generated_output,False,0,0,7,1
